phrase_number,composition_number,cadence_role_cantz,cadence_alter,cadence_final_tone,cadence_role_tenz,cadence_kind,cadence_final_tone_before,cadence_final_tone_after,cadence_kind_before,cadence_kind_after,final_cadence
"DC0603.6: Voyant le temps approcher que m’en vois,",DC0603: Or à ce jour le verd may se termine,S,,D,T,Authentic,A,F,Plagal,Authentic,D
"DC0603.4: Plus n’ay raison en mes couleurs le peindre,",DC0603: Or à ce jour le verd may se termine,None,,A,None,Plagal,A,D,Authentic,Authentic,D
"DC0603.3: Las est à moy tout mon verd si se fine,",DC0603: Or à ce jour le verd may se termine,T,"Displaced, Inverted, Evaded",A,Ct,Authentic,A,A,Plagal,Plagal,D
"DC0603.1: Or à ce jour le verd may se termine,",DC0603: Or à ce jour le verd may se termine,S,,A,T,Authentic,None,A,None,Plagal,D
"DC0602.4: Au lieu du mien, ou nul que toy n’a part.",DC0602: Elle voyant approcher mon départ,S,,D,T,Authentic,F,None,Authentic,None,D
"DC0602.3: Au departir las laisse moy ton cœur,",DC0602: Elle voyant approcher mon départ,S,,F,T,Authentic,D,D,Authentic,Authentic,D
"DC0602.2: Ma dict ami pour m’oster de langueur,",DC0602: Elle voyant approcher mon départ,S,,D,T,Authentic,A,F,Plagal,Authentic,D
"DC0602.1: Elle voyant approcher mon depart,",DC0602: Elle voyant approcher mon départ,None,,A,None,Plagal,None,D,None,Authentic,D
DC0601.4: Alors de toy n’auray plus de memoire.,DC0601: Quand contremont voirras retourner loyre,S,,D,T,Authentic,D,None,Authentic,None,D
"DC0601.3: Les corbeaulx blancz laissantz noire vesture,",DC0601: Quand contremont voirras retourner loyre,S,,E,T,Phrygian,A,D,Authentic,Authentic,D
"DC0601.2: Et ses poissons en l’air prendre pasture,",DC0601: Quand contremont voirras retourner loyre,S,,A,T,Authentic,E,E,Plagal,Phrygian,D
"DC0601.1: Quand contremont voirras retourner loyre,",DC0601: Quand contremont voirras retourner loyre,None,,E,None,Plagal,None,A,None,Authentic,D
DC0728.10: Car moy mesme le bailleray.,DC0728: Malade si fut ma mignonne,S,,G,T,Authentic,G,None,Authentic,None,G
"DC0728.8: Tel que le vous prepareray,",DC0728: Malade si fut ma mignonne,S,,G,T,Authentic,D,G,Authentic,Authentic,G
"DC0728.7: Il ne vous fault qu'un bon clistere,",DC0728: Malade si fut ma mignonne,S,Displaced,D,Ct,Authentic,D,G,Authentic,Authentic,G
"DC0728.6: Pour tost guarir sans grand mistere,",DC0728: Malade si fut ma mignonne,T,"Displaced, Inverted, Incomplete",D,Ct,Authentic,G,D,Authentic,Authentic,G
"DC0728.4: Fault que vostre medecin soye,",DC0728: Malade si fut ma mignonne,Ct,"Displaced, Evaded",G,T,Authentic,G,D,Authentic,Authentic,G
"DC0728.2: Quelque jour, et je luy disoye,",DC0728: Malade si fut ma mignonne,S,,G,T,Authentic,None,G,None,Authentic,G
DC0709.5: On s'ennuye.,DC0709: Je ly au cueur de m'amye,S,,G,T,Authentic,B-flat,None,Authentic,None,G
"DC0709.4: Je sçay bien, qu'en m'attendant",DC0709: Je ly au cueur de m'amye,S,,A,T,Phrygian,D,B-flat,Authentic,Authentic,G
"DC0709.3: De me voir, Et ce pendant",DC0709: Je ly au cueur de m'amye,S,,G,T,Authentic,A,D,Plagal,Authentic,G
"DC0709.1: Je lis au cœur de m'amye,",DC0709: Je ly au cueur de m'amye,None,,A,None,Plagal,None,G,None,Authentic,G
DC0716.9: Si je ne la mettois à l'umbre.,"DC0716: En ce verd moys, temps opportun",S,,G,T,Authentic,G,None,Authentic,None,G
"DC0716.8: S'elle trouvoit bon mon conseil,","DC0716: En ce verd moys, temps opportun",B,"Displaced, Inverted",A,S,Phrygian,D,G,Plagal,Authentic,G
"DC0716.7: Mais beau luyre auroit le souleil,","DC0716: En ce verd moys, temps opportun",None,,D,None,Plagal,D,A,Authentic,Phrygian,G
DC0716.6: De quel metz mot ny en quel nombre,"DC0716: En ce verd moys, temps opportun",T,"Displaced, Inverted",D,Ct,Authentic,B-flat,D,Authentic,Plagal,G
