phrase_number,composition_number,cadence_role_cantz,cadence_alter,cadence_final_tone,cadence_role_tenz,cadence_kind,cadence_final_tone_before,cadence_final_tone_after,cadence_kind_before,cadence_kind_after,final_cadence
"DC0511.4: Pour neant a ce que taschez,",DC0511: Ce disoit une jeune dame,B,"Displaced, Inverted",D,T,Phrygian,None,D,Authentic,Phrygian,G
DC0511.3: Et vous tuez le corps et l’ame,DC0511: Ce disoit une jeune dame,B,"Inverted, Displaced",None,Ct,Authentic,D,D,Authentic,Phrygian,G
"DC0511.2: A un vieillard vous my faschez,",DC0511: Ce disoit une jeune dame,S,Displaced,A,B,Phrygian,None,D,None,Authentic,G
"DC0510.4: A luy complaire je m’addonne,","DC0510: J'endure tout, c'est bien raison",,,D,,Plagal,D,D,Authentic,Plagal,G
"DC0509.7: Mais quand je seray aux endroictz,","DC0509: Ça ces beaux yeux, ça ceste bouche",S,Displaced,A,B,Phrygian,B-flat,G,Authentic,Authentic,G
"DC0509.4: Ceste cuisse, et plus hault trois doigtz,","DC0509: Ça ces beaux yeux, ça ceste bouche",S,None,G,T,Authentic,D,G,Plagal,Authentic,G
"DC0509.3: Ca ce rond tetin que j’y touche,","DC0509: Ça ces beaux yeux, ça ceste bouche",,,D,,Plagal,G,G,Authentic,Authentic,G
"DC0508.9: Mais je vous pri que vous soyez soigneux,",DC0508: Musiciens qui chantez à plaisir,Ct,CAD NDLT,D,B,Phrygian,G,G,Authentic,Authentic,G
"DC0508.1: Musiciens qui chantez à plaisir,",DC0508: Musiciens qui chantez à plaisir,,,D,,Plagal,None,G,None,Authentic,G
DC0507.6: Car à plus grand honneur ne veulx pretendre.,"DC0507: Long temps y a, innocente pucelle",S,,G,T,Authentic,G,None,Authentic,None,D
DC0506.8: Que dedans le trou que sçavez.,DC0506: Madame je vous remercie/ De m'avoir esté si rebourse,None,None,G,None,Plagal,G,G,CadInCad,Plagal,D
"DC0506.2: De m’avoir esté si rebource,",DC0506: Madame je vous remercie/ De m'avoir esté si rebourse,S,Displaced,D,Ct,Authentic,D,B-flat,Authentic,Authentic,D
DC0505.8: C’est assez pour s’emerveiller.,DC0505: Si vous aviez comme moy faim,S,None,G,T,Authentic,D,None,Phrygian,None,D
"DC0505.5: Je dis entendez à mon aistre,",DC0505: Si vous aviez comme moy faim,S,None,B-flat,T,Authentic,G,D,Authentic,Authentic,D
"DC0505.4: Et picotin ne peult mal estre,",DC0505: Si vous aviez comme moy faim,S,None,G,T,Authentic,None,B-flat,None,Authentic,D
"DC0505.1: Si vous aviez comme moy faim,",DC0505: Si vous aviez comme moy faim,S,,G,T,Authentic,None,B-flat,None,Authentic,D
"DC0504.6: Qu’heure sans vous me dure des jours cent,",DC0504: Quand j'ay esté quinze heures avec vous,B,"Displaced, Inverted",D,T,Authentic,B-flat,G,Authentic,Plagal,G
"DC0504.1: Quand j’ay esté quinze heures avec vous,",DC0504: Quand j'ay esté quinze heures avec vous,Ct,"Displaced, Evaded",G,B,Authentic,None,B-flat,None,Authentic,G
"DC0503.12: Sus l’herbette la jectay,",DC0503: Vous estes un fascheux homme,None,None,D,None,Plagal,D,G,Authentic,Authentic,G
"DC0503.11: Finez vous ou je crieray,",DC0503: Vous estes un fascheux homme,S,,D,T,Authentic,G,D,Plagal,Plagal,G
"DC0503.10: Je la prins, et l’embrassay,",DC0503: Vous estes un fascheux homme,T,"Displaced, Inverted",D,Ct,Phrygian,G,D,Authentic,Authentic,G
"DC0503.8: Vous estes un falcheux homme,",DC0503: Vous estes un fascheux homme,T,Displaced,B-flat,B,Authentic,A,G,Phrygian,Authentic,G
"DC0503.5: Trouvé bergiere au coeur gay,",DC0503: Vous estes un fascheux homme,None,None,F,None,Plagal,D,F,Authentic,Plagal,G
DC0502.8: Ainsi sera contente,DC0502: J'ay le fruit tant désiré,None,None,B-flat,None,Plagal,D,G,Plagal,Authentic,G
DC0502.5: Car mon bien ne pourroit,DC0502: J'ay le fruit tant désiré,B,"Displaced, Inverted",B-flat,S,Authentic,G,D,Authentic,Plagal,G
"DC0502.4: Aux aultres lamenter,",DC0502: J'ay le fruit tant désiré,S,,G,T,Authentic,None,B-flat,None,Authentic,G
"DC0501.5: Un mary ay le corps pour gage,",DC0501: C'est a moy qu'en veult ce coqu,,,G,,Plagal,G,A,CAD NDLT,Plagal,D
"DC0501.4: Meschant oyseau elle est trop sage,",DC0501: C'est a moy qu'en veult ce coqu,Ct,"Inverted, Displaced",G,B,Authentic,None,G,None,Plagal,D
"DC0501.1: Cest à moy qu’en veult ce coqu,",DC0501: C'est a moy qu'en veult ce coqu,,,D,,Plagal,None,D,None,Authentic,D
DC0322.4: Qui va chantant en son chant gracieux,DC0322: Or sus or sus qu'on se resveille,S,None,G,T,Authentic,C,None,Plagal,None,G
"DC0322.3: Du rossignol qui ne sommeille,",DC0322: Or sus or sus qu'on se resveille,S,None,A,T,Authentic,E,C,Phrygian,Plagal,G
DC0322.2: Venez ouir le chant melodieux,DC0322: Or sus or sus qu'on se resveille,S,None,C,T,Authentic,G,E,Authentic,Phrygian,G
"DC0322.1: Or sus or sus qu'on se resveille,",DC0322: Or sus or sus qu'on se resveille,S,None,G,T,Authentic,None,C,None,Authentic,G
DC0321.10: De vous servir de moy je seray maistre.,DC0321: S'amour vous a donné mon coeur en gaige,S,None,G,T,Authentic,C,G,Authentic,Authentic,G
"DC0321.9: Un aultre aurez, et moy ne pouvant estre,",DC0321: S'amour vous a donné mon coeur en gaige,Ct,Displaced,G,B,CAD NDLT,E,C,Authentic,Authentic,G
"DC0321.8: Si ne voulez amy comme devant,",DC0321: S'amour vous a donné mon coeur en gaige,B,"Displaced, Inverted",E,S,Authentic,G,G,Authentic,CAD NDLT,G
"DC0321.7: Et vous seray amy non decepvant,",DC0321: S'amour vous a donné mon coeur en gaige,S,None,G,T,Authentic,D,E,Authentic,Authentic,G
DC0321.6: Et j'entendray le moindre signe aller,DC0321: S'amour vous a donné mon coeur en gaige,T,"Displaced, Inverted, Evaded",D,Ct,Authentic,E,G,Plagal,Authentic,G
"DC0321.5: Si le voulez monstrez le sans parler,",DC0321: S'amour vous a donné mon coeur en gaige,None,None,E,None,Plagal,C,D,Authentic,Authentic,G
"DC0321.4: Vous le voulez, ou ne le voulez point,",DC0321: S'amour vous a donné mon coeur en gaige,T,"Inverted, Evaded",C,S,Authentic,C,C,Authentic,Authentic,G
"DC0321.3: Quand tout est dict il n'ya qu'un seul point,",DC0321: S'amour vous a donné mon coeur en gaige,S,None,C,T,Authentic,G,C,Authentic,Authentic,G
"DC0321.2: De quoy vous sert user tant de langaige,",DC0321: S'amour vous a donné mon coeur en gaige,S,None,G,T,Authentic,A,C,Authentic,Authentic,G
"DC0321.1: S'amour vous a donné mon coeur en gaige,",DC0321: S'amour vous a donné mon coeur en gaige,S,None,A,T,Authentic,None,A,None,Authentic,G
DC0320.10: faictes le tant qu'il revienne à un double.,DC0320: Un mesnagier qui sa femme accusoit,,,C,,Plagal,C,None,Authentic,None,C
"DC0320.8: La belle alors l'œil tout pleurant, et trouble,",DC0320: Un mesnagier qui sa femme accusoit,None,None,E,None,Plagal,F,C,Authentic,Authentic,C
DC0320.7: Je n'ay faict coup qui ne couste un escu.,DC0320: Un mesnagier qui sa femme accusoit,Ct,"Displaced, Evaded",G,T,Authentic,C,G,Authentic,Authentic,C
"DC0320.6: Par le corps bien ainsi qu'avons vescu,",DC0320: Un mesnagier qui sa femme accusoit,S,Displaced,C,Ct,Authentic,G,G,Authentic,Authentic,C
"DC0320.5: Malheureux est qui à femme se lie,",DC0320: Un mesnagier qui sa femme accusoit,S,None,G,T,Authentic,C,C,Authentic,Authentic,C
"DC0320.2: De ce que tant vouloit estre jolie,",DC0320: Un mesnagier qui sa femme accusoit,B,"Displaced, Inverted",G,S,Authentic,None,G,None,Authentic,C
"DC0319.14: Qui vit ainsi, est il trop à son aise.","DC0319: Triste et marry, pensif, melancolique",None,None,F,None,Plagal,F,None,Authentic,None,F
"DC0319.12: Estre battu de femme en sa maison,","DC0319: Triste et marry, pensif, melancolique",B,"Displaced, Inverted",C,Ct,Authentic,C,F,Authentic,Authentic,F
"DC0319.11: Au demeurant à tort, et sans raison,","DC0319: Triste et marry, pensif, melancolique",B,"Displaced, Inverted",C,Ct,Authentic,A,C,Plagal,Authentic,F
DC0319.9: Estre jaloux coqu aussi coeur lasche:,"DC0319: Triste et marry, pensif, melancolique",,,A,,Plagal,A,C,Plagal,Authentic,F
"DC0319.8: Et sans espoir de trouver qui en baille,","DC0319: Triste et marry, pensif, melancolique",None,None,A,None,Plagal,C,A,Authentic,Plagal,F
"DC0319.5: Plain de proces, plain de calamité","DC0319: Triste et marry, pensif, melancolique",B,"Displaced, Inverted",C,Ct,Authentic,C,A,Authentic,Plagal,F
"DC0319.4: Rude en esprit nud de grace, et sçavoir,","DC0319: Triste et marry, pensif, melancolique",T,"Displaced, Inverted, Evaded",C,Ct,Authentic,C,C,Authentic,Authentic,F
"DC0319.3: Pouvre orguilleux sans bien, et sans avoir,","DC0319: Triste et marry, pensif, melancolique",B,"Displaced, Inverted",C,Ct,Authentic,A,C,Phrygian,Authentic,F
"DC0319.1: Triste et marry, pensif, melancolique,","DC0319: Triste et marry, pensif, melancolique",T,"Displaced, Inverted",A,B,Phrygian,None,A,None,Phrygian,F
DC0318.4: Et encor moins sur le quart enteprendre.,DC0318: Ung doulx baiser m'est bien permis de prendre,S,None,F,T,Authentic,F,None,Authentic,None,F
"DC0318.3: Difficille est au tiers poinct approcher,",DC0318: Ung doulx baiser m'est bien permis de prendre,Ct,Displaced,C,T,Authentic,F,F,Authentic,Authentic,F
"DC0318.1: Un doulx baiser m'est bien permis de prendre,",DC0318: Ung doulx baiser m'est bien permis de prendre,S,Evaded,F,T,Authentic,None,C,None,Authentic,F
"DC0317.7: Prens reconfort ou vis en l'esperance,","DC0317: En l'eau, en l'eau jette toy vistement",T,"Displaced, Inverted, Evaded",F,Ct,Authentic,C,None,Authentic,None,F
"DC0317.6: Ne te laissant avoir ce que pretends,","DC0317: En l'eau, en l'eau jette toy vistement",T,Displaced,C,B,Authentic,G,F,Authentic,Authentic,F
"DC0317.5: Doncq' si ennuy te tient en tel' souffrance,","DC0317: En l'eau, en l'eau jette toy vistement",S,None,G,T,Authentic,F,C,Authentic,Authentic,F
"DC0317.2: Et tu auras de ton mal allegeance,","DC0317: En l'eau, en l'eau jette toy vistement",S,None,F,T,Authentic,D,G,Plagal,Authentic,F
"DC0317.1: En l'eau en l'eau jettes toy vistement,","DC0317: En l'eau, en l'eau jette toy vistement",None,None,D,None,Plagal,None,F,None,Authentic,F
DC0316.8: Pour augmenter l'amytié immortelle.,DC0316: Comme le feu sans chaleur ne peut estre,S,None,F,T,Authentic,F,None,Authentic,None,F
"DC0316.7: Le corps sera par l'ame retirer,",DC0316: Comme le feu sans chaleur ne peut estre,S,None,F,T,Authentic,F,F,Authentic,Authentic,F
DC0316.6: Rompoit les liens de la vie mortelle,DC0316: Comme le feu sans chaleur ne peut estre,S,None,F,T,Authentic,G,F,CAD NDLT,Authentic,F
"DC0316.5: Et si la mort que faict tout d'esperer,",DC0316: Comme le feu sans chaleur ne peut estre,T,"Displaced, Inverted, Evaded",F,Ct,CadInCad,F,F,Authentic,Authentic,F
"DC0316.4: Ne veult ailleurs fors qu'en toy demeurer,",DC0316: Comme le feu sans chaleur ne peut estre,None,"Displaced, Incomplete",F,B,Authentic,F,F,Authentic,CadInCad,F
"DC0316.3: Aussi l'esprit n'ayant lieu ou se mettre,",DC0316: Comme le feu sans chaleur ne peut estre,Ct,"Displaced, Incomplete, Evaded",F,None,Authentic,F,F,Authentic,Authentic,F
DC0316.2: Ny bon vouloir d'amytié separer.,DC0316: Comme le feu sans chaleur ne peut estre,S,None,F,T,Authentic,F,F,Authentic,Authentic,F
"DC0316.1: Comme le feu sans chaleur ne veult estre,",DC0316: Comme le feu sans chaleur ne peut estre,S,,F,T,CadInCad,None,F,None,Authentic,F
DC0315.3: Si à bon droict ce renom l'on lui donne:,DC0315: Plus je la voy de beaucoup estimée,S,,A,T,Phrygian,B-flat,None,Authentic,None,A
"DC0315.2: Plus tout mon coeur à la servir s'addonne,",DC0315: Plus je la voy de beaucoup estimée,S,None,B-flat,T,Authentic,G,A,Authentic,Phrygian,A
"DC0315.1: Plus je la voy de beaucoup estimée,",DC0315: Plus je la voy de beaucoup estimée,S,None,G,T,Authentic,None,B-flat,None,Authentic,A
DC0314.8: Et mon cœur qui vault mieulx.,DC0314: Ma bouche n'ose dire/ Mon apparent desir,S,None,G,T,Authentic,B-flat,None,Authentic,None,G
"DC0314.7: T'abandonnant mon bien,",DC0314: Ma bouche n'ose dire/ Mon apparent desir,T,Displaced,B-flat,B,Authentic,D,G,Plagal,Authentic,G
"DC0314.6: Et seray en tous lieux,",DC0314: Ma bouche n'ose dire/ Mon apparent desir,None,None,D,None,Plagal,F,B-flat,Authentic,Authentic,G
"DC0314.5: Mais c'est que je suis tien,",DC0314: Ma bouche n'ose dire/ Mon apparent desir,S,None,F,T,Authentic,G,D,Authentic,Plagal,G
"DC0314.2: Mon apparent desir,",DC0314: Ma bouche n'ose dire/ Mon apparent desir,S,None,G,T,Authentic,D,F,Plagal,Authentic,G
DC0314.1: Ma bouche n'ose dire,DC0314: Ma bouche n'ose dire/ Mon apparent desir,None,None,D,None,Plagal,None,D,None,Plagal,G
DC0313.14: Quand je suis saoul de devaller.,DC0313: Un jeune moine bien adroit,S,,G,T,Authentic,D,None,Authentic,None,G
"DC0313.13: Non dict il, mais fault, que je monte,",DC0313: Un jeune moine bien adroit,S,None,D,T,Authentic,G,G,Authentic,Authentic,G
DC0313.12: Est-ce ainsi que sçavez prescher:,DC0313: Un jeune moine bien adroit,Ct,"Displaced, Inverted",G,S,Authentic,D,D,Authentic,Authentic,G
"DC0313.11: Ha moine que Dieu vous confonde,",DC0313: Un jeune moine bien adroit,S,Displaced,D,Ct,Authentic,D,G,Authentic,Authentic,G
"DC0313.10: Et luy commence à remonstrer,",DC0313: Un jeune moine bien adroit,S,Displaced,D,Ct,Authentic,D,D,Authentic,Authentic,G
"DC0313.7: Luy serre de pres sa croppiere,",DC0313: Un jeune moine bien adroit,S,None,D,T,Authentic,B-flat,D,Authentic,Authentic,G
"DC0313.6: Seul se voyant, et loing du monde,",DC0313: Un jeune moine bien adroit,S,None,B-flat,T,Authentic,D,D,Authentic,Authentic,G
"DC0313.5: Le moine eschauffé du derriere,",DC0313: Un jeune moine bien adroit,S,None,D,T,Authentic,G,B-flat,Authentic,Authentic,G
"DC0313.2: Aux champs trouva une meusniere,",DC0313: Un jeune moine bien adroit,S,,G,T,Authentic,D,D,Authentic,Authentic,G
"DC0313.1: Un jeune moine bien adroit,",DC0313: Un jeune moine bien adroit,S,,D,T,Authentic,D,G,Authentic,Authentic,G
"DC0312.2: A ce pelerin estrangier,",DC0312: Faictes si vous plaist vostre aumosne,None,None,D,None,Plagal,G,None,Authentic,None,D
"DC0312.1: Faictes si vous plaist vostre aumosne,",DC0312: Faictes si vous plaist vostre aumosne,S,None,G,T,Authentic,None,D,None,Plagal,D
"DC0311.8: De tousjours tendre, et elle de bailler.",DC0311: Un vieil souldard prioit une fillette,S,None,G,T,Authentic,D,None,Phrygian,None,G
DC0311.7: Monsieur respond qui n'a pas entendu,DC0311: Un vieil souldard prioit une fillette,Ct,"Displaced, Incomplete, Evaded",D,None,Authentic,G,D,Authentic,Phrygian,G
"DC0311.6: Et puis apres madame de railler,",DC0311: Un vieil souldard prioit une fillette,S,,B-flat,T,CadInCad,D,G,Authentic,Authentic,G
"DC0311.5: Mais à la fin perdit tout estendu,",DC0311: Un vieil souldard prioit une fillette,S,None,D,T,Authentic,G,B-flat,Authentic,CadInCad,G
"DC0311.2: Qu'elle fit butte pour un sien arc tendu,",DC0311: Un vieil souldard prioit une fillette,S,None,G,T,Authentic,D,D,Plagal,Authentic,G
"DC0311.1: Un vieil soudard prioit une fillette,",DC0311: Un vieil souldard prioit une fillette,None,None,D,None,Plagal,None,G,None,Authentic,G
DC0310.8: Incontinant Mort le fera sçavoir.,DC0310: Celer ne puis ny dire le tourment,S,None,G,T,Authentic,D,None,CadInCad,None,G
"DC0310.7: En le celant si par trop je l'endure,",DC0310: Celer ne puis ny dire le tourment,T,"Displaced, Inverted, Evaded",D,Ct,CadInCad,D,G,Authentic,Authentic,G
"DC0310.6: De faire ainsi mon secret apparoir,",DC0310: Celer ne puis ny dire le tourment,S,None,D,T,Authentic,B-flat,D,Authentic,CadInCad,G
"DC0310.5: Si je le dy la peine sera dure,",DC0310: Celer ne puis ny dire le tourment,S,None,B-flat,T,Authentic,G,D,Authentic,Authentic,G
"DC0310.2: Que sent mon coeur, et fault que plus il dure,",DC0310: Celer ne puis ny dire le tourment,S,,G,T,Authentic,D,B-flat,Phrygian,Authentic,G
"DC0310.1: Celer ne puis ny dire le tourment,",DC0310: Celer ne puis ny dire le tourment,T,Displaced,D,B,Phrygian,None,G,None,Authentic,G
DC0309.8: Il n'est que fin noir de Paris.,DC0309: Belle comere Dieu vous gard,S,None,G,T,Authentic,D,None,Phrygian,None,G
"DC0309.6: En tient aussi faicte par ris,",DC0309: Belle comere Dieu vous gard,Ct,Displaced,D,B,Phrygian,G,G,Authentic,Authentic,G
DC0309.4: de resjouir de nuict nature,DC0309: Belle comere Dieu vous gard,S,None,G,T,Authentic,F,D,Authentic,Phrygian,G
DC0309.3: Je croy sur tout qu'ayez esgard,DC0309: Belle comere Dieu vous gard,Ct,Displaced,F,B,Authentic,G,G,Authentic,Authentic,G
"DC0309.2: Et doit tousjours bonne adventure,",DC0309: Belle comere Dieu vous gard,S,None,G,T,Authentic,D,F,Phrygian,Authentic,G
"DC0309.1: Belle commere Dieu vous gard,",DC0309: Belle comere Dieu vous gard,Ct,Displaced,D,B,Phrygian,None,G,None,Authentic,G
"DC0308.10: La larme à l'oeil, sans que ma bouche s'ouvre.",DC0308: Faire ne puis sans dueil & desplaisir,S,None,G,T,Authentic,D,None,Phrygian,None,G
DC0308.9: En ce tourment adieu je vous viens dire,DC0308: Faire ne puis sans dueil & desplaisir,Ct,Displaced,D,B,Phrygian,D,G,Phrygian,Authentic,G
DC0308.8: Qui ne permet que mon mal je descouvre,DC0308: Faire ne puis sans dueil & desplaisir,Ct,Displaced,D,B,Phrygian,G,D,Authentic,Phrygian,G
"DC0308.7: Las je veulx trop mais craincte me retire,",DC0308: Faire ne puis sans dueil & desplaisir,S,,G,T,Authentic,A,D,Phrygian,Phrygian,G
DC0308.6: Dont entre deux convient que je souspire,DC0308: Faire ne puis sans dueil & desplaisir,S,,A,T,Phrygian,B-flat,G,Authentic,CadInCad,G
"DC0308.5: Un bien me rit, et l'autre me menasse,",DC0308: Faire ne puis sans dueil & desplaisir,S,None,B-flat,T,Authentic,G,A,Authentic,Phrygian,G
"DC0308.2: Ce qu'il convient, et force est que je fasse,",DC0308: Faire ne puis sans dueil & desplaisir,S,None,G,T,Authentic,D,B-flat,Phrygian,Authentic,G
"DC0308.1: Faire ne puis sans dueil, et desplaisir,",DC0308: Faire ne puis sans dueil & desplaisir,Ct,Displaced,D,B,Phrygian,None,G,None,Authentic,G
DC0307.10: Luy dict amy mourez je suis contente.,DC0307: Du jeu d'aymer Martin fort curieux,S,None,G,T,Authentic,G,None,Authentic,None,G
"DC0307.9: Car sans vouloir de son mal s'enquerir,",DC0307: Du jeu d'aymer Martin fort curieux,T,"Inverted, Evaded",G,S,Authentic,B-flat,D,Authentic,Plagal,G
"DC0307.8: Si l'embrassa, se monstrant fort constante,",DC0307: Du jeu d'aymer Martin fort curieux,S,Displaced,B-flat,Ct,Authentic,D,B-flat,Phrygian,Authentic,G
DC0307.7: La garse prompte pour l'amy secourir,DC0307: Du jeu d'aymer Martin fort curieux,Ct,Displaced,D,B,Phrygian,D,D,Plagal,Phrygian,G
"DC0307.6: Soustenez moy, car pour vous vois mourir:",DC0307: Du jeu d'aymer Martin fort curieux,None,None,D,None,Plagal,G,D,Authentic,Phrygian,G
DC0307.5: Puis s'approcha disant gente pucelle,DC0307: Du jeu d'aymer Martin fort curieux,S,Incomplete,G,T,Authentic,D,D,Plagal,Plagal,G
"DC0307.2: Disoit un jour à sa dame rebelle,",DC0307: Du jeu d'aymer Martin fort curieux,None,None,D,None,Plagal,B-flat,D,Authentic,Plagal,G
"DC0307.1: Du jeu d'aymer Martin fort curieux,",DC0307: Du jeu d'aymer Martin fort curieux,S,"Displaced, Evaded",B-flat,Ct,Authentic,D,D,Plagal,Plagal,G
DC0306.6: Pour endurer un mal si doucement.,DC0306: Elle disoit : faictes tout bellement,S,None,G,T,Authentic,G,None,CadInCad,None,G
DC0306.5: Ne craignez point que demeure affollée,DC0306: Elle disoit : faictes tout bellement,None,None,D,None,Plagal,D,G,Authentic,CadInCad,G
"DC0306.4: Dict tost las frapez hardiment,",DC0306: Elle disoit : faictes tout bellement,S,None,D,T,Authentic,B-flat,D,Authentic,Authentic,G
DC0306.3: Mais puis apres se sentant eschaufée,DC0306: Elle disoit : faictes tout bellement,T,"Displaced, Incomplete",B-flat,None,Authentic,G,D,Authentic,Authentic,G
"DC0306.2: Hay mon amy j'ay la cuisse escorchée,",DC0306: Elle disoit : faictes tout bellement,S,None,G,T,Authentic,D,B-flat,Authentic,Authentic,G
"DC0306.1: Elle disoit faictes tout bellement,",DC0306: Elle disoit : faictes tout bellement,B,"Displaced, Inverted",D,Ct,Authentic,None,G,None,Authentic,G
DC0305.8: que pour un coup en vouldras trois.,"DC0305: Sus, sus, ma seur, prendz bon couraige",S,None,D,T,CadInCad,D,None,Authentic,None,D
"DC0305.7: Venant la seconde, Je croy","DC0305: Sus, sus, ma seur, prendz bon couraige",Ct,Displaced,A,B,Authentic,F,D,Authentic,Authentic,D
"DC0305.6: Quand tu l'auras faict une fois,","DC0305: Sus, sus, ma seur, prendz bon couraige",S,None,F,T,Authentic,A,A,Authentic,Authentic,D
"DC0305.5: Je te promets en bonne foy,","DC0305: Sus, sus, ma seur, prendz bon couraige",S,None,A,T,Authentic,D,F,Authentic,Authentic,D
DC0305.4: J'estois aussi jeune que toy.,"DC0305: Sus, sus, ma seur, prendz bon couraige",S,,D,T,Authentic,A,A,Phrygian,Authentic,D
"DC0305.3: Quand je fus mise en mariage,","DC0305: Sus, sus, ma seur, prendz bon couraige",Ct,Displaced,A,B,Phrygian,D,D,Authentic,Authentic,D
"DC0305.2: Tu n'en mouras non plus que moy,","DC0305: Sus, sus, ma seur, prendz bon couraige",S,None,D,T,Authentic,A,A,Authentic,Phrygian,D
"DC0305.1: Sus sus ma soeur prens bon couraige,","DC0305: Sus, sus, ma seur, prendz bon couraige",S,None,A,T,Authentic,A,D,Authentic,Authentic,D
DC0304.11: Et ma bouche contente de se taire.,DC0304: Poste esgaré par trop adventureux,S,,D,T,Authentic,A,None,Authentic,None,D
"DC0304.10: Lors tu seras exempt de lamenter,",DC0304: Poste esgaré par trop adventureux,T,"Displaced, Incomplete",A,None,Authentic,A,E,Authentic,CadInCad,D
"DC0304.9: Que mon parler il luy plaise escouter,",DC0304: Poste esgaré par trop adventureux,B,"Displaced, Inverted",A,Ct,Authentic,C,A,Authentic,Authentic,D
"DC0304.7: D'ennuy facheux tu las sçeu tormenter,",DC0304: Poste esgaré par trop adventureux,Ct,Displaced,C,B,Authentic,A,A,Authentic,Authentic,D
"DC0304.6: Et de present de plaisir contenter,",DC0304: Poste esgaré par trop adventureux,Ct,Displaced,A,B,Authentic,A,A,Authentic,Authentic,D
"DC0304.5: Faisant au coeur ton amoureux message,",DC0304: Poste esgaré par trop adventureux,T,"Displaced, Incomplete",A,None,Authentic,D,A,Authentic,Authentic,D
"DC0304.2: Pour esmouvoir liberté de couraige,",DC0304: Poste esgaré par trop adventureux,S,None,D,T,Authentic,A,A,Phrygian,Authentic,D
"DC0304.1: Poste esgaré par trop adventureux,",DC0304: Poste esgaré par trop adventureux,S,None,A,T,CadInCad,None,A,None,Phrygian,D
DC0303.8: Povez mon mal et mon tourment.,DC0303: Si mon grand mal ne peult finir,S,None,D,T,Authentic,D,D,Authentic,Authentic,D
"DC0303.7: Et si se meurt  Par ce cognoistre,",DC0303: Si mon grand mal ne peult finir,T,Inverted,D,S,Authentic,E,D,Phrygian,Authentic,D
"DC0303.6: En vous voyant vit seulement,",DC0303: Si mon grand mal ne peult finir,S,None,F,T,Authentic,A,E,Authentic,Phrygian,D
"DC0303.5: Las l'œil de mon coeur la fenestre,",DC0303: Si mon grand mal ne peult finir,S,,A,T,Authentic,D,F,Authentic,Authentic,D
"DC0303.2: Si non par vous mais tousjours croistre,",DC0303: Si mon grand mal ne peult finir,S,None,D,T,Authentic,F,A,Authentic,Authentic,D
"DC0303.1: Si mon grand mal ne peult finir,",DC0303: Si mon grand mal ne peult finir,S,None,F,T,Authentic,None,D,None,Authentic,D
DC0302.8: Languir en trauail et tristesse.,DC0302: Sans avoir faict nul desplaisir,S,None,D,T,Authentic,D,None,Authentic,None,D
DC0302.7: Qu'il me convient loing de ses yeux,DC0302: Sans avoir faict nul desplaisir,S,None,A,T,Authentic,E,D,Phrygian,Authentic,D
DC0302.6: Dont ie sens au coeur telle oppresse,DC0302: Sans avoir faict nul desplaisir,S,,E,T,Phrygian,F,A,Authentic,Authentic,D
DC0302.5: Plus n'ay ce maintien gracieux,DC0302: Sans avoir faict nul desplaisir,S,None,F,T,Authentic,D,E,Authentic,Phrygian,D
DC0302.4: Par le pourchas des enuieux,DC0302: Sans avoir faict nul desplaisir,T,"Displaced, Inverted",D,Ct,Authentic,A,F,Authentic,Authentic,D
DC0302.3: Je suis priué de mon desir,DC0302: Sans avoir faict nul desplaisir,T,Displaced,A,B,Authentic,D,D,Authentic,Authentic,D
"DC0302.2: A celle que i'ayme le myeulx,",DC0302: Sans avoir faict nul desplaisir,S,None,A,T,Authentic,None,D,None,Authentic,D
DC0301.12: Car ce que je fais est pour vous.,DC0301: Maistre Lubin de sang rassis,S,None,D,T,Authentic,C,None,Authentic,None,D
"DC0301.11: Maistre Lubin las serrez moy,",DC0301: Maistre Lubin de sang rassis,Ct,Displaced,C,B,Authentic,A,D,Phrygian,Authentic,D
DC0301.10: En les faisant disois tout doulz,DC0301: Maistre Lubin de sang rassis,B,"Displaced, Inverted",A,S,Phrygian,D,C,Authentic,Authentic,D
"DC0301.8: C'est votre façon par ma foy,",DC0301: Maistre Lubin de sang rassis,S,None,D,T,Authentic,D,A,Authentic,Phrygian,D
"DC0301.6: Ne le celle, et me dictz vray ",DC0301: Maistre Lubin de sang rassis,S,None,A,T,Authentic,D,A,Authentic,Authentic,D
"DC0301.4: Je te prix compte la manière,",DC0301: Maistre Lubin de sang rassis,S,None,D,T,Authentic,D,D,Authentic,Authentic,D
"DC0301.2: Dict un jour à la chambriere,",DC0301: Maistre Lubin de sang rassis,S,"Displaced, Evaded",D,Ct,Authentic,D,D,Authentic,Authentic,D
DC0226.10: Dont ce sainct feu toute memoire efface.,DC0226: Amour remply de pitié et de zelle,S,None,G,T,Authentic,D,None,Authentic,None,G
"DC0226.7: Le tout il mist en un feu si nouveau,",DC0226: Amour remply de pitié et de zelle,Ct,"Displaced, Inverted, Evaded",D,S,Authentic,G,G,Authentic,Authentic,G
"DC0226.6: Aussi l'espés, et ignorant bandeau,",DC0226: Amour remply de pitié et de zelle,S,"Incomplete, Evaded",G,T,Authentic,G,D,Authentic,Authentic,G
"DC0226.3: En l'arrachant du corps trop tendre et beau,",DC0226: Amour remply de pitié et de zelle,S,None,G,T,Authentic,D,G,Plagal,Authentic,G
"DC0226.2: D'amour mourant toucha la legière aesle,",DC0226: Amour remply de pitié et de zelle,None,None,D,None,Plagal,C,G,Authentic,Authentic,G
